Lemma	Wordlist	Rank	SFI	U	D	F	Rank	Coverage	Cumulative					
each	1 - NGSL	145	68.100	645.60	0.9450	"188,066"	146	0.0007	0.61					
school	1 - NGSL	146	68.048	637.98	0.9284	"188,705"	145	0.0007	0.61					
late	1 - NGSL	147	68.047	637.78	0.9880	"178,699"	156	0.0007	0.62					
high	1 - NGSL	148	68.043	637.26	0.9729	"180,978"	153	0.0007	0.62					
different	1 - NGSL	149	68.035	635.99	0.9705	"181,010"	152	0.0007	0.62					
off	1 - NGSL	150	67.996	630.43	0.9441	"183,815"	150	0.0007	0.62					
next	1 - NGSL	151	67.922	619.72	0.9457	"180,412"	154	0.0007	0.62					
end	1 - NGSL	152	67.918	619.21	0.9977	"172,020"	159	0.0006	0.62					
live	1 - NGSL	153	67.836	607.53	0.9488	"176,328"	158	0.0006	0.62					
why	1 - NGSL	154	67.833	607.14	0.9387	"177,931"	157	0.0007	0.62					
while	1 - NGSL	155	67.769	598.30	0.9762	"169,401"	163	0.0006	0.63					
world	1 - NGSL	156	67.760	597.09	0.9620	"171,258"	160	0.0006	0.62					
week	1 - NGSL	157	67.753	596.11	0.9629	"170,839"	161	0.0006	0.62					
play	1 - NGSL	158	67.727	592.51	0.9829	"166,776"	168	0.0006	0.63					
might	1 - NGSL	159	67.683	586.52	0.9778	"165,833"	171	0.0006	0.63					
must	1 - NGSL	160	67.680	586.12	0.9468	"170,431"	162	0.0006	0.63					
home	1 - NGSL	161	67.675	585.44	0.9866	"164,240"	173	0.0006	0.63					
never	1 - NGSL	162	67.634	579.96	0.9439	"169,098"	164	0.0006	0.63					
include	1 - NGSL	163	67.598	575.19	0.8707	"180,001"	155	0.0007	0.62					
course	1 - NGSL	164	67.598	575.15	0.9717	"163,508"	174	0.0006	0.63					
house	1 - NGSL	165	67.572	571.74	0.9434	"166,760"	169	0.0006	0.63					
report	1 - NGSL	166	67.561	570.29	0.9391	"167,099"	167	0.0006	0.63					
group	1 - NGSL	167	67.551	569.00	0.9414	"166,297"	170	0.0006	0.63					
case	1 - NGSL	168	67.550	568.87	0.9633	"162,984"	176	0.0006	0.63					
woman	1 - NGSL	169	67.546	568.28	0.9751	"161,064"	179	0.0006	0.64					
around	1 - NGSL	170	67.543	567.94	0.9824	"159,925"	184	0.0006	0.64					
book	1 - NGSL	171	67.525	565.64	0.9752	"160,303"	182	0.0006	0.64					
family	1 - NGSL	172	67.519	564.81	0.9711	"160,656"	181	0.0006	0.64					
seem	1 - NGSL	173	67.500	562.33	0.9703	"160,056"	183	0.0006	0.64					
let	1 - NGSL	174	67.443	555.01	0.9344	"163,309"	175	0.0006	0.63					
again	1 - NGSL	175	67.436	554.15	0.9473	"161,078"	178	0.0006	0.63					
kind	1 - NGSL	176	67.434	553.87	0.9032	"167,948"	166	0.0006	0.63					
keep	1 - NGSL	177	67.412	551.05	0.9750	"156,205"	186	0.0006	0.64					
hear	1 - NGSL	178	67.370	545.77	0.9319	"160,937"	180	0.0006	0.64					
system	1 - NGSL	179	67.363	544.82	0.9228	"162,069"	177	0.0006	0.63					
every	1 - NGSL	180	67.363	544.82	0.9773	"154,117"	189	0.0006	0.64					
question	1 - NGSL	181	67.338	541.77	0.9739	"153,744"	190	0.0006	0.64					
during	1 - NGSL	182	67.321	539.68	0.9343	"158,764"	185	0.0006	0.64					
always	1 - NGSL	183	67.249	530.71	0.9670	"151,520"	193	0.0006	0.64					
big	1 - NGSL	184	67.220	527.26	0.9277	"156,117"	187	0.0006	0.64					
set	1 - NGSL	185	67.209	525.91	0.9664	"150,239"	196	0.0005	0.65					
small	1 - NGSL	186	67.202	525.09	0.9757	"148,735"	199	0.0005	0.65					
study	1 - NGSL	187	67.194	524.04	0.8412	"168,657"	165	0.0006	0.63					
follow	1 - NGSL	188	67.171	521.37	0.9188	"155,637"	188	0.0006	0.64					
begin	1 - NGSL	189	67.142	517.83	0.9773	"146,479"	202	0.0005	0.65					
important	1 - NGSL	190	67.141	517.69	0.9389	"151,643"	192	0.0006	0.64					
since	1 - NGSL	191	67.122	515.41	0.9864	"144,616"	204	0.0005	0.65					
run	1 - NGSL	192	67.076	510.00	0.9710	"145,082"	203	0.0005	0.65					
