Lemma	Wordlist	Rank	SFI	U	D	F	Rank	Coverage	Cumulative					
holdout			35.116	0.32	0.8876	100	"21,018"	0.0000	0.98					
brouhaha			35.116	0.32	0.9294	96	"21,234"	0.0000	0.98					
repairer			35.114	0.32	0.7893	111	"20,428"	0.0000	0.98					
wonky			35.114	0.32	0.8963	99	"21,070"	0.0000	0.98					
della			35.112	0.32	0.7186	119	"20,008"	0.0000	0.98					
mortification			35.111	0.32	0.6543	128	"19,577"	0.0000	0.98					
unfailingly			35.110	0.32	0.9501	94	"21,362"	0.0000	0.98					
linesman			35.110	0.32	0.8225	107	"20,619"	0.0000	0.98					
opossum			35.109	0.32	0.9382	95	"21,293"	0.0000	0.98					
insufferable			35.109	0.32	0.8527	103	"20,867"	0.0000	0.98					
unheeded			35.109	0.32	0.9616	93	"21,419"	0.0000	0.98					
reticulum			35.108	0.32	0.1992	294	"14,477"	0.0000	0.98					
hostelry			35.106	0.32	0.9734	92	"21,473"	0.0000	0.98					
locksmith			35.104	0.32	0.9727	92	"21,473"	0.0000	0.98					
nacho			35.102	0.32	0.9046	98	"21,126"	0.0000	0.98					
notepaper			35.101	0.32	0.9601	93	"21,419"	0.0000	0.98					
cormorant			35.101	0.32	0.7641	113	"20,327"	0.0000	0.98					
periodicity			35.101	0.32	0.6880	123	"19,838"	0.0000	0.98					
boolean			35.100	0.32	0.9593	93	"21,419"	0.0000	0.98					
ceaselessly			35.100	0.32	0.9021	98	"21,126"	0.0000	0.98					
jimmy			35.100	0.32	0.7767	112	"20,375"	0.0000	0.98					
greedily			35.100	0.32	0.5013	157	"18,306"	0.0000	0.98					
austral			35.099	0.32	0.9962	90	"21,578"	0.0000	0.98					
terminator			35.099	0.32	0.8941	99	"21,070"	0.0000	0.98					
defamatory			35.099	0.32	0.8644	102	"20,923"	0.0000	0.98					
stopwatch			35.098	0.32	0.8520	103	"20,867"	0.0000	0.98					
slobber			35.098	0.32	0.7771	111	"20,428"	0.0000	0.98					
unreachable			35.098	0.32	0.9832	91	"21,522"	0.0000	0.98					
stealthily			35.097	0.32	0.5817	140	"19,005"	0.0000	0.98					
deject			35.095	0.32	0.5824	140	"19,005"	0.0000	0.98					
boastful			35.095	0.32	0.9010	98	"21,126"	0.0000	0.98					
musicianship			35.094	0.32	0.9466	94	"21,362"	0.0000	0.98					
mote			35.093	0.32	0.8788	100	"21,018"	0.0000	0.98					
multifarious			35.093	0.32	0.9460	94	"21,362"	0.0000	0.98					
josh			35.091	0.32	0.8491	103	"20,867"	0.0000	0.98					
multilayer			35.090	0.32	0.7070	120	"19,970"	0.0000	0.98					
cubist			35.089	0.32	0.8394	104	"20,801"	0.0000	0.98					
lymphoid			35.089	0.32	0.6937	122	"19,888"	0.0000	0.98					
flotsam			35.089	0.32	0.9212	96	"21,234"	0.0000	0.98					
enthrone			35.088	0.32	0.9683	92	"21,473"	0.0000	0.98					
telegraphic			35.087	0.32	0.8895	99	"21,070"	0.0000	0.98					
glycolysis			35.087	0.32	0.8895	99	"21,070"	0.0000	0.98					
teary			35.086	0.32	0.8880	99	"21,070"	0.0000	0.98					
interlocutory			35.085	0.32	0.8274	106	"20,684"	0.0000	0.98					
molestation			35.085	0.32	0.9449	94	"21,362"	0.0000	0.98					
indifferently			35.084	0.32	0.4708	164	"18,069"	0.0000	0.98					
pyre			35.084	0.32	0.7840	110	"20,477"	0.0000	0.98					
constructivism			35.082	0.32	0.8096	107	"20,619"	0.0000	0.98					
aperitif			35.081	0.32	0.9430	94	"21,362"	0.0000	0.98					
abeyance			35.081	0.32	0.9432	94	"21,362"	0.0000	0.98					
peerage			35.080	0.32	0.6538	128	"19,577"	0.0000	0.98					
locator			35.078	0.32	0.8658	101	"20,969"	0.0000	0.98					
speedway			35.078	0.32	0.7624	114	"20,279"	0.0000	0.98					
sorcerer			35.077	0.32	0.6947	121	"19,933"	0.0000	0.98					
cabal			35.077	0.32	0.9300	95	"21,293"	0.0000	0.98					
effete			35.076	0.32	0.9899	90	"21,578"	0.0000	0.98					
exultation			35.074	0.32	0.6603	126	"19,691"	0.0000	0.98					
stateroom			35.074	0.32	0.9646	92	"21,473"	0.0000	0.98					
insistently			35.072	0.32	0.7884	109	"20,531"	0.0000	0.98					
limbic			35.072	0.32	0.3579	201	"16,830"	0.0000	0.98					
triplicate			35.072	0.32	0.6715	125	"19,744"	0.0000	0.98					
sweetcorn			35.071	0.32	0.9524	93	"21,419"	0.0000	0.98					
illus			35.070	0.32	0.5908	138	"19,109"	0.0000	0.98					
chlorinate			35.070	0.32	0.9063	97	"21,179"	0.0000	0.98					
magnetize			35.070	0.32	0.7983	108	"20,565"	0.0000	0.98					
roundel			35.069	0.32	0.7724	111	"20,428"	0.0000	0.98					
boudoir			35.068	0.32	0.7617	112	"20,375"	0.0000	0.98					
adjuvant			35.068	0.32	0.0000	666	"10,075"	0.0000	0.97					
thalidomide			35.066	0.32	0.8638	101	"20,969"	0.0000	0.98					
uninhabitable			35.066	0.32	0.9874	90	"21,578"	0.0000	0.98					
steadiness			35.064	0.32	0.9269	95	"21,293"	0.0000	0.98					
amelioration			35.064	0.32	0.9868	90	"21,578"	0.0000	0.98					
boffin			35.063	0.32	0.9621	92	"21,473"	0.0000	0.98					
aloofness			35.062	0.32	0.9862	90	"21,578"	0.0000	0.98					
protractor			35.060	0.32	0.7377	116	"20,170"	0.0000	0.98					
coed			35.057	0.32	0.8644	101	"20,969"	0.0000	0.98					
twat			35.056	0.32	0.9493	93	"21,419"	0.0000	0.98					
tinnitus			35.056	0.32	0.9136	96	"21,234"	0.0000	0.98					
revalue			35.055	0.32	0.9143	96	"21,234"	0.0000	0.98					
flashbulb			35.052	0.32	0.9965	89	"21,638"	0.0000	0.98					
masochistic			35.052	0.32	0.9835	90	"21,578"	0.0000	0.98					
fatherless			35.052	0.32	0.9711	91	"21,522"	0.0000	0.98					
celebrant			35.051	0.32	0.9355	94	"21,362"	0.0000	0.98					
choosy			35.050	0.32	0.9708	91	"21,522"	0.0000	0.98					
measly			35.048	0.32	0.8034	107	"20,619"	0.0000	0.98					
contortion			35.048	0.32	0.9003	97	"21,179"	0.0000	0.98					
matchmaker			35.047	0.32	0.9348	94	"21,362"	0.0000	0.98					
bray			35.046	0.32	0.7652	111	"20,428"	0.0000	0.98					
habitant			35.046	0.32	0.4586	166	"17,995"	0.0000	0.98					
teat			35.042	0.32	0.8486	102	"20,923"	0.0000	0.98					
quicksand			35.042	0.32	0.9567	92	"21,473"	0.0000	0.98					
onsite			35.040	0.32	0.8232	105	"20,751"	0.0000	0.98					
cellulosic			35.039	0.32	0.8049	107	"20,619"	0.0000	0.98					
unsteadily			35.039	0.32	0.3708	193	"17,077"	0.0000	0.98					
houseware			35.038	0.32	0.8050	107	"20,619"	0.0000	0.98					
liftoff			35.037	0.32	0.5245	158	"18,275"	0.0000	0.98					
sealant			35.035	0.32	0.8654	100	"21,018"	0.0000	0.98					
tractable			35.035	0.32	0.6364	129	"19,535"	0.0000	0.98					
valance			35.034	0.32	0.9548	92	"21,473"	0.0000	0.98					
splitter			35.034	0.32	0.7558	112	"20,375"	0.0000	0.98					
praiseworthy			35.030	0.32	0.9535	92	"21,473"	0.0000	0.98					
craven			35.030	0.32	0.9296	94	"21,362"	0.0000	0.98					
deliverer			35.027	0.32	0.9527	92	"21,473"	0.0000	0.98					
disarmingly			35.027	0.32	0.9524	92	"21,473"	0.0000	0.98					
cooper			35.024	0.32	0.8673	100	"21,018"	0.0000	0.98					
moneyed			35.023	0.32	0.9761	90	"21,578"	0.0000	0.98					
sharpener			35.023	0.32	0.8434	102	"20,923"	0.0000	0.98					
inquisitor			35.022	0.32	0.8733	99	"21,070"	0.0000	0.98					
slacker			35.021	0.32	0.7965	107	"20,619"	0.0000	0.98					
manna			35.020	0.32	0.9053	96	"21,234"	0.0000	0.98					
oversupply			35.020	0.32	0.9529	92	"21,473"	0.0000	0.98					
imprudent			35.020	0.32	0.8959	97	"21,179"	0.0000	0.98					
aborigine			35.019	0.32	0.7971	107	"20,619"	0.0000	0.98					
matey			35.019	0.32	0.9878	89	"21,638"	0.0000	0.98					
deco			35.018	0.32	0.8828	98	"21,126"	0.0000	0.98					
turgid			35.018	0.32	0.9622	91	"21,522"	0.0000	0.98					
pugnacious			35.017	0.32	0.9382	93	"21,419"	0.0000	0.98					
pertussis			35.016	0.32	0.6712	123	"19,838"	0.0000	0.98					
diatonic			35.014	0.32	0.9994	88	"21,698"	0.0000	0.98					
urethra			35.013	0.32	0.7092	118	"20,061"	0.0000	0.98					
varietal			35.013	0.32	0.9991	88	"21,698"	0.0000	0.98					
pillowcase			35.012	0.32	0.8816	98	"21,126"	0.0000	0.98					
coffeehouse			35.011	0.32	0.9987	88	"21,698"	0.0000	0.98					
smut			35.011	0.32	0.9141	95	"21,293"	0.0000	0.98					
fealty			35.011	0.32	0.8918	97	"21,179"	0.0000	0.98					
vociferously			35.010	0.32	0.9855	89	"21,638"	0.0000	0.98					
weirdness			35.009	0.32	0.8802	98	"21,126"	0.0000	0.98					
gangrene			35.007	0.32	0.9848	89	"21,638"	0.0000	0.98					
braille			35.007	0.32	0.9164	95	"21,293"	0.0000	0.98					
stringer			35.005	0.32	0.7286	115	"20,235"	0.0000	0.98					
ardently			35.005	0.32	0.9589	91	"21,522"	0.0000	0.98					
dowager			35.004	0.32	0.9967	88	"21,698"	0.0000	0.98					
sadism			35.003	0.32	0.9838	89	"21,638"	0.0000	0.98					
apposite			35.003	0.32	0.9354	93	"21,419"	0.0000	0.98					
pixie			35.003	0.32	0.8482	101	"20,969"	0.0000	0.98					
pipework			35.003	0.32	0.9239	94	"21,362"	0.0000	0.98					
worshiper			35.003	0.32	0.9718	90	"21,578"	0.0000	0.98					
convolution			35.002	0.32	0.3895	186	"17,285"	0.0000	0.98					
sappy			35.001	0.32	0.8896	97	"21,179"	0.0000	0.98					
anabolic			35.000	0.32	0.8713	99	"21,070"	0.0000	0.98					
outwith			35.000	0.32	0.6577	127	"19,636"	0.0000	0.98					
arraign			34.999	0.32	0.6727	125	"19,744"	0.0000	0.98					
luckless			34.997	0.32	0.9948	88	"21,698"	0.0000	0.98					
copyist			34.996	0.32	0.8104	105	"20,751"	0.0000	0.98					
defibrillator			34.995	0.32	0.9124	95	"21,293"	0.0000	0.98					
aurora			34.995	0.32	0.8093	105	"20,751"	0.0000	0.98					
ritualistic			34.994	0.32	0.9328	93	"21,419"	0.0000	0.98					
badness			34.994	0.32	0.9684	90	"21,578"	0.0000	0.98					
structuralism			34.992	0.32	0.9563	91	"21,522"	0.0000	0.98					
melodious			34.992	0.32	0.8551	100	"21,018"	0.0000	0.98					
rudiment			34.992	0.32	0.9091	95	"21,293"	0.0000	0.98					
playlist			34.992	0.32	0.6543	125	"19,744"	0.0000	0.98					
undiminished			34.991	0.32	0.9437	92	"21,473"	0.0000	0.98					
operant			34.991	0.32	0.8177	104	"20,801"	0.0000	0.98					
overreaction			34.990	0.32	0.9001	96	"21,234"	0.0000	0.98					
pooch			34.990	0.32	0.7926	107	"20,619"	0.0000	0.98					
regulative			34.987	0.32	0.8976	96	"21,234"	0.0000	0.98					
constitutionalism			34.986	0.32	0.9074	95	"21,293"	0.0000	0.98					
motorboat			34.985	0.32	0.9422	92	"21,473"	0.0000	0.98					
bristly			34.985	0.32	0.9296	93	"21,419"	0.0000	0.98					
rollercoaster			34.984	0.32	0.8758	98	"21,126"	0.0000	0.98					
nonchalance			34.984	0.32	0.8845	97	"21,179"	0.0000	0.98					
underling			34.983	0.32	0.8050	105	"20,751"	0.0000	0.98					
tensile			34.982	0.31	0.8547	100	"21,018"	0.0000	0.98					
locational			34.982	0.31	0.8695	99	"21,070"	0.0000	0.98					
footer			34.982	0.31	0.9083	95	"21,293"	0.0000	0.98					
culvert			34.980	0.31	0.7879	107	"20,619"	0.0000	0.98					
continence			34.979	0.31	0.8243	103	"20,867"	0.0000	0.98					
freakish			34.978	0.31	0.8038	105	"20,751"	0.0000	0.98					
hypoxic			34.978	0.31	0.9651	90	"21,578"	0.0000	0.98					
deckchair			34.978	0.31	0.8237	103	"20,867"	0.0000	0.98					
heedless			34.978	0.31	0.7761	108	"20,565"	0.0000	0.98					
hobo			34.977	0.31	0.9405	92	"21,473"	0.0000	0.98					
baulk			34.976	0.31	0.9165	94	"21,362"	0.0000	0.98					
cataclysm			34.975	0.31	0.9398	92	"21,473"	0.0000	0.98					
marlin			34.974	0.31	0.8558	100	"21,018"	0.0000	0.98					
shipboard			34.974	0.31	0.9157	94	"21,362"	0.0000	0.98					
anticlimax			34.973	0.31	0.9887	88	"21,698"	0.0000	0.98					
triptych			34.973	0.31	0.7950	106	"20,684"	0.0000	0.98					
aileron			34.973	0.31	0.9272	93	"21,419"	0.0000	0.98					
cecum			34.972	0.31	0.4823	158	"18,275"	0.0000	0.98					
steelwork			34.971	0.31	0.9177	94	"21,362"	0.0000	0.98					
couscous			34.971	0.31	0.7351	113	"20,327"	0.0000	0.98					
classicist			34.970	0.31	0.7950	106	"20,684"	0.0000	0.98					
acetylcholine			34.970	0.31	0.4649	163	"18,105"	0.0000	0.98					
officeholder			34.968	0.31	0.9745	89	"21,638"	0.0000	0.98					
convalescence			34.967	0.31	0.8933	96	"21,234"	0.0000	0.98					
awl			34.967	0.31	1.0000	87	"21,780"	0.0000	0.98					
pumice			34.966	0.31	0.7844	107	"20,619"	0.0000	0.98					
twitchy			34.966	0.31	0.9998	87	"21,780"	0.0000	0.98					
unaffordable			34.966	0.31	0.9383	92	"21,473"	0.0000	0.98					
seascape			34.965	0.31	0.9023	95	"21,293"	0.0000	0.98					
deflationary			34.963	0.31	0.9864	88	"21,698"	0.0000	0.98					
servile			34.963	0.31	0.9730	89	"21,638"	0.0000	0.98					
smugness			34.963	0.31	0.9857	88	"21,698"	0.0000	0.98					
stoplight			34.962	0.31	0.9987	87	"21,780"	0.0000	0.98					
gratuitously			34.962	0.31	0.9606	90	"21,578"	0.0000	0.98					
slinky			34.961	0.31	0.7736	108	"20,565"	0.0000	0.98					
painterly			34.961	0.31	0.8589	99	"21,070"	0.0000	0.98					
dependability			34.960	0.31	0.9480	91	"21,522"	0.0000	0.98					
pomposity			34.960	0.31	0.9473	91	"21,522"	0.0000	0.98					
dimensionality			34.959	0.31	0.6416	126	"19,691"	0.0000	0.98					
ignominy			34.956	0.31	0.9226	93	"21,419"	0.0000	0.98					
peninsular			34.956	0.31	0.9589	90	"21,578"	0.0000	0.98					
dismemberment			34.956	0.31	0.9587	90	"21,578"	0.0000	0.98					
scoreless			34.956	0.31	0.9042	95	"21,293"	0.0000	0.98					
bedlam			34.953	0.31	0.9583	90	"21,578"	0.0000	0.98					
cassava			34.953	0.31	0.8094	104	"20,801"	0.0000	0.98					
exultant			34.952	0.31	0.8664	98	"21,126"	0.0000	0.98					
dirge			34.951	0.31	0.9337	92	"21,473"	0.0000	0.98					
effeminate			34.951	0.31	0.8987	95	"21,293"	0.0000	0.98					
uncoordinated			34.950	0.31	0.9451	91	"21,522"	0.0000	0.98					
leprosy			34.950	0.31	0.9105	94	"21,362"	0.0000	0.98					
inseminate			34.949	0.31	0.0000	648	"10,216"	0.0000	0.97					
caliphate			34.948	0.31	0.9694	89	"21,638"	0.0000	0.98					
loveliness			34.947	0.31	0.8976	95	"21,293"	0.0000	0.98					
decaf			34.946	0.31	0.7594	110	"20,477"	0.0000	0.98					
esplanade			34.946	0.31	0.6302	128	"19,577"	0.0000	0.98					
serially			34.945	0.31	0.7810	107	"20,619"	0.0000	0.98					
lucidity			34.944	0.31	0.9810	88	"21,698"	0.0000	0.98					
pawnshop			34.943	0.31	0.9442	91	"21,522"	0.0000	0.98					
snitch			34.943	0.31	0.8992	95	"21,293"	0.0000	0.98					
conflation			34.940	0.31	0.7622	109	"20,531"	0.0000	0.98					
canna			34.939	0.31	0.9422	91	"21,522"	0.0000	0.98					
scrubby			34.938	0.31	0.9924	87	"21,780"	0.0000	0.98					
vesicular			34.937	0.31	0.6499	124	"19,796"	0.0000	0.98					
plasterwork			34.937	0.31	0.9077	94	"21,362"	0.0000	0.98					
wimpy			34.935	0.31	0.8013	105	"20,751"	0.0000	0.98					
transferability			34.935	0.31	0.8131	104	"20,801"	0.0000	0.98					
plaice			34.934	0.31	0.9660	89	"21,638"	0.0000	0.98					
unabridged			34.934	0.31	0.7293	113	"20,327"	0.0000	0.98					
hypnotist			34.932	0.31	0.9652	89	"21,638"	0.0000	0.98					
drudge			34.932	0.31	0.9779	88	"21,698"	0.0000	0.98					
timeshare			34.931	0.31	0.9781	88	"21,698"	0.0000	0.98					
bothy			34.931	0.31	0.9284	92	"21,473"	0.0000	0.98					
longingly			34.928	0.31	0.6804	119	"20,008"	0.0000	0.98					
lengthwise			34.928	0.31	0.6955	117	"20,117"	0.0000	0.98					
divorcee			34.927	0.31	0.9645	89	"21,638"	0.0000	0.98					
yakuza			34.927	0.31	0.5593	139	"19,054"	0.0000	0.98					
rend			34.927	0.31	0.8498	99	"21,070"	0.0000	0.98					
touristy			34.926	0.31	0.7868	106	"20,684"	0.0000	0.98					
arbitrariness			34.924	0.31	0.8618	98	"21,126"	0.0000	0.98					
efface			34.924	0.31	0.9630	89	"21,638"	0.0000	0.98					
smithy			34.923	0.31	0.8025	104	"20,801"	0.0000	0.98					
unprincipled			34.923	0.31	0.9381	91	"21,522"	0.0000	0.98					
midstream			34.921	0.31	0.9380	91	"21,522"	0.0000	0.98					
dickhead			34.921	0.31	0.9752	88	"21,698"	0.0000	0.98					
sol			34.919	0.31	0.8600	98	"21,126"	0.0000	0.98					
ladybird			34.918	0.31	0.9872	87	"21,780"	0.0000	0.98					
suppleness			34.916	0.31	0.8697	97	"21,179"	0.0000	0.98					
actin			34.915	0.31	0.0000	643	"10,246"	0.0000	0.97					
paprika			34.915	0.31	0.7316	112	"20,375"	0.0000	0.98					
gastroenteritis			34.912	0.31	0.9009	94	"21,362"	0.0000	0.98					
sanatorium			34.912	0.31	0.8084	103	"20,867"	0.0000	0.98					
undertow			34.911	0.31	0.9117	93	"21,419"	0.0000	0.98					
spoilage			34.908	0.31	0.8603	98	"21,126"	0.0000	0.98					
capsid			34.907	0.31	0.8680	97	"21,179"	0.0000	0.98					
purplish			34.906	0.31	0.8174	102	"20,923"	0.0000	0.98					
ageist			34.905	0.31	0.9110	93	"21,419"	0.0000	0.98					
borer			34.904	0.31	0.8075	103	"20,867"	0.0000	0.98					
incomer			34.904	0.31	0.7815	106	"20,684"	0.0000	0.98					
afghan			34.903	0.31	0.9355	91	"21,522"	0.0000	0.98					
consonance			34.902	0.31	0.9451	90	"21,578"	0.0000	0.98					
refractive			34.902	0.31	0.9451	90	"21,578"	0.0000	0.98					
sternum			34.902	0.31	0.9961	86	"21,845"	0.0000	0.98					
biologic			34.901	0.31	0.8475	99	"21,070"	0.0000	0.98					
cinematography			34.901	0.31	0.8662	97	"21,179"	0.0000	0.98					
cohere			34.900	0.31	0.9957	86	"21,845"	0.0000	0.98					
hunky			34.900	0.31	0.8664	97	"21,179"	0.0000	0.98					
fashionably			34.900	0.31	0.9566	89	"21,638"	0.0000	0.98					
yardage			34.899	0.31	0.7615	108	"20,565"	0.0000	0.98					
amulet			34.898	0.31	0.9688	88	"21,698"	0.0000	0.98					
pith			34.894	0.31	0.9679	88	"21,698"	0.0000	0.98					
multipurpose			34.894	0.31	0.7636	108	"20,565"	0.0000	0.98					
fluorite			34.894	0.31	0.3653	190	"17,187"	0.0000	0.98					
compositor			34.893	0.31	0.2724	234	"15,882"	0.0000	0.98					
marketeer			34.892	0.31	0.9195	92	"21,473"	0.0000	0.98					
udder			34.891	0.31	0.9185	92	"21,473"	0.0000	0.98					
untitled			34.891	0.31	0.8422	99	"21,070"	0.0000	0.98					
boneless			34.891	0.31	0.8844	95	"21,293"	0.0000	0.98					
therefrom			34.891	0.31	0.8571	98	"21,126"	0.0000	0.98					
thyself			34.891	0.31	0.7578	108	"20,565"	0.0000	0.98					
bayou			34.890	0.31	0.9673	88	"21,698"	0.0000	0.98					
syllogism			34.886	0.31	0.8414	99	"21,070"	0.0000	0.98					
ethnographer			34.883	0.31	0.7757	106	"20,684"	0.0000	0.98					
lacerate			34.882	0.31	0.8606	97	"21,179"	0.0000	0.98					
nonplus			34.881	0.31	0.6241	126	"19,691"	0.0000	0.98					
guttural			34.881	0.31	0.6923	116	"20,170"	0.0000	0.98					
hypochlorite			34.879	0.31	0.8399	99	"21,070"	0.0000	0.98					
curio			34.878	0.31	0.9038	93	"21,419"	0.0000	0.98					
cardholder			34.877	0.31	0.9046	93	"21,419"	0.0000	0.98					
cornflour			34.876	0.31	0.8606	97	"21,179"	0.0000	0.98					
chaperone			34.875	0.31	0.9028	93	"21,419"	0.0000	0.98					
dialectal			34.875	0.31	0.4970	151	"18,543"	0.0000	0.98					
nanometer			34.874	0.31	0.9391	90	"21,578"	0.0000	0.98					
cantankerous			34.874	0.31	0.9630	88	"21,698"	0.0000	0.98					
amortization			34.872	0.31	0.3552	210	"16,570"	0.0000	0.98					
butty			34.870	0.31	0.8823	95	"21,293"	0.0000	0.98					
orientalism			34.870	0.31	0.6250	126	"19,691"	0.0000	0.98					
dingo			34.869	0.31	0.9614	88	"21,698"	0.0000	0.98					
millstone			34.867	0.31	0.8584	97	"21,179"	0.0000	0.98					
unsentimental			34.865	0.31	0.9013	93	"21,419"	0.0000	0.98					
plebeian			34.865	0.31	0.9863	86	"21,845"	0.0000	0.98					
quatrain			34.865	0.31	0.8789	95	"21,293"	0.0000	0.98					
snafu			34.863	0.31	0.8185	101	"20,969"	0.0000	0.98					
dragoon			34.863	0.31	0.9992	85	"21,914"	0.0000	0.98					
fissile			34.861	0.31	0.8797	95	"21,293"	0.0000	0.98					
reprove			34.860	0.31	0.6957	115	"20,235"	0.0000	0.98					
seditious			34.859	0.31	0.9106	92	"21,473"	0.0000	0.98					
subduction			34.858	0.31	0.7452	109	"20,531"	0.0000	0.98					
butane			34.858	0.31	0.9474	89	"21,638"	0.0000	0.98					
summery			34.857	0.31	0.9337	90	"21,578"	0.0000	0.98					
piquant			34.855	0.31	0.9578	88	"21,698"	0.0000	0.98					
geochemistry			34.855	0.31	0.9716	87	"21,780"	0.0000	0.98					
cannibalize			34.854	0.31	0.8684	96	"21,234"	0.0000	0.98					
breakneck			34.853	0.31	0.8343	99	"21,070"	0.0000	0.98					
ajar			34.851	0.31	0.2388	245	"15,587"	0.0000	0.98					
humpback			34.849	0.31	0.9444	89	"21,638"	0.0000	0.98					
astern			34.848	0.31	0.9953	85	"21,914"	0.0000	0.98					
grayish			34.848	0.31	0.8226	100	"21,018"	0.0000	0.98					
reverential			34.848	0.31	0.9561	88	"21,698"	0.0000	0.98					
confocal			34.847	0.31	0.0000	633	"10,323"	0.0000	0.97					
ayatollah			34.847	0.31	0.9693	87	"21,780"	0.0000	0.98					
irreverence			34.846	0.31	0.9191	91	"21,522"	0.0000	0.98					
collation			34.845	0.31	0.9814	86	"21,845"	0.0000	0.98					
constabulary			34.845	0.31	0.8768	95	"21,293"	0.0000	0.98					
unpaved			34.844	0.31	0.9681	87	"21,780"	0.0000	0.98					
adsorption			34.844	0.31	0.5433	140	"19,005"	0.0000	0.98					
chintz			34.843	0.30	0.7657	106	"20,684"	0.0000	0.98					
antivirus			34.843	0.30	0.5513	138	"19,109"	0.0000	0.98					
farthing			34.843	0.30	0.8622	96	"21,234"	0.0000	0.98					
lapis			34.841	0.30	0.9424	89	"21,638"	0.0000	0.98					
sarin			34.840	0.30	0.9067	92	"21,473"	0.0000	0.98					
encephalopathy			34.839	0.30	0.4699	157	"18,306"	0.0000	0.98					
meniscus			34.839	0.30	0.8737	95	"21,293"	0.0000	0.98					
arraignment			34.839	0.30	0.8662	96	"21,234"	0.0000	0.98					
ungodly			34.837	0.30	0.9288	90	"21,578"	0.0000	0.98					
sinewy			34.837	0.30	0.8494	97	"21,179"	0.0000	0.98					
acidify			34.836	0.30	0.7658	106	"20,684"	0.0000	0.98					
dissociative			34.836	0.30	0.2491	242	"15,666"	0.0000	0.98					
decorous			34.835	0.30	0.9919	85	"21,914"	0.0000	0.98					
bogeyman			34.835	0.30	0.9659	87	"21,780"	0.0000	0.98					
repartee			34.835	0.30	0.9525	88	"21,698"	0.0000	0.98					
gazetteer			34.833	0.30	0.7647	106	"20,684"	0.0000	0.98					
plagiarize			34.831	0.30	0.9046	92	"21,473"	0.0000	0.98					
falsification			34.831	0.30	0.9163	91	"21,522"	0.0000	0.98					
dozy			34.829	0.30	0.8615	96	"21,234"	0.0000	0.98					
adroit			34.829	0.30	0.9390	89	"21,638"	0.0000	0.98					
apse			34.829	0.30	0.4537	161	"18,179"	0.0000	0.98					
comradeship			34.829	0.30	0.9273	90	"21,578"	0.0000	0.98					
insularity			34.828	0.30	0.9900	85	"21,914"	0.0000	0.98					
brassy			34.828	0.30	0.8478	97	"21,179"	0.0000	0.98					
fitfully			34.827	0.30	0.7978	102	"20,923"	0.0000	0.98					
egotism			34.825	0.30	0.8905	93	"21,419"	0.0000	0.98					
expropriate			34.824	0.30	0.8802	94	"21,362"	0.0000	0.98					
lithosphere			34.824	0.30	0.9628	87	"21,780"	0.0000	0.98					
indexical			34.824	0.30	0.8477	97	"21,179"	0.0000	0.98					
fistula			34.823	0.30	0.6706	118	"20,061"	0.0000	0.98					
foreshorten			34.822	0.30	0.9751	86	"21,845"	0.0000	0.98					
anatomically			34.822	0.30	0.8913	93	"21,419"	0.0000	0.98					
screed			34.822	0.30	0.7714	105	"20,751"	0.0000	0.98					
farrier			34.820	0.30	0.8791	94	"21,362"	0.0000	0.98					
fulsome			34.820	0.30	0.9748	86	"21,845"	0.0000	0.98					
antral			34.820	0.30	0.0000	629	"10,358"	0.0000	0.97					
rehire			34.819	0.30	0.9260	90	"21,578"	0.0000	0.98					
dissonant			34.819	0.30	0.8470	97	"21,179"	0.0000	0.98					
restlessly			34.818	0.30	0.1925	274	"14,895"	0.0000	0.98					
backswing			34.817	0.30	0.7784	104	"20,801"	0.0000	0.98					
estimable			34.814	0.30	1.0000	84	"21,975"	0.0000	0.98					
pedicure			34.814	0.30	0.8668	95	"21,293"	0.0000	0.98					
salesforce			34.813	0.30	0.7693	105	"20,751"	0.0000	0.98					
treeless			34.813	0.30	0.6755	117	"20,117"	0.0000	0.98					
councilman			34.813	0.30	0.7643	106	"20,684"	0.0000	0.98					
hooliganism			34.813	0.30	0.9021	92	"21,473"	0.0000	0.98					
readmission			34.811	0.30	0.8251	99	"21,070"	0.0000	0.98					
miscommunication			34.810	0.30	0.8997	92	"21,473"	0.0000	0.98					
counterfactual			34.809	0.30	0.3434	195	"17,016"	0.0000	0.98					
sportscaster			34.807	0.30	0.9472	88	"21,698"	0.0000	0.98					
homey			34.805	0.30	0.9213	90	"21,578"	0.0000	0.98					
uncooked			34.804	0.30	0.8749	94	"21,362"	0.0000	0.98					
figural			34.804	0.30	0.9705	86	"21,845"	0.0000	0.98					
poignantly			34.804	0.30	0.9574	87	"21,780"	0.0000	0.98					
unobstructed			34.800	0.30	0.9569	87	"21,780"	0.0000	0.98					
adieu			34.800	0.30	0.8304	98	"21,126"	0.0000	0.98					
rune			34.797	0.30	0.7060	112	"20,375"	0.0000	0.98					
wetness			34.797	0.30	0.6756	116	"20,170"	0.0000	0.98					
pitifully			34.797	0.30	0.9304	89	"21,638"	0.0000	0.98					
dishonestly			34.797	0.30	0.8680	95	"21,293"	0.0000	0.98					
thromboxane			34.797	0.30	0.9072	91	"21,522"	0.0000	0.98					
groupware			34.796	0.30	0.9689	86	"21,845"	0.0000	0.98					
polonium			34.796	0.30	0.8516	96	"21,234"	0.0000	0.98					
cur			34.795	0.30	0.9814	85	"21,914"	0.0000	0.98					
